identifier,title,text,ogd
186@statistisches-amt-kanton-zuerich,Steuerkraft [Mio.Fr.], Steuerkraft [Mio.Fr.] Steuerkraft absolut (Nettosteuerertrag zu 100%). bezirke gemeinden kanton_zuerich ogd steuerkraft steuern Öffentliche Verwaltung und Finanzen,True
195@statistisches-amt-kanton-zuerich,Steuerertrag von juristischen Personen [Mio.Fr.], Steuerertrag von juristischen Personen [Mio.Fr.] Steuerertrag juristische Personen (Nettoertrag Rechnungsjahr). bezirke gemeindefinanzen gemeinden juristische_personen kanton_zuerich ogd steuerertrag steuern Öffentliche Verwaltung und Finanzen,True
200@statistisches-amt-kanton-zuerich,Sterbefälle [Pers.], Sterbefälle [Pers.] Anzahl Sterbefälle pro Jahr  bevoelkerung bevoelkerungsbewegungen bezirke gemeinden kanton_zuerich ogd sterbefaelle Bevölkerung,True
201@statistisches-amt-kanton-zuerich,Wanderungsbilanz [Pers.], Wanderungsbilanz [Pers.] Zuzüge minus Wegzüge (ohne Umzüge innerhalb der Gemeinden). Inkl. innerkantonaler Wanderungen. bevoelkerung bezirke gemeinden kanton_zuerich ogd wanderungen zuzuege-wegzuege Bevölkerung,True
3@statistisches-amt-kanton-zuerich,Zinsbelastungsanteil [%]," Zinsbelastungsanteil [%] Nettozinsaufwand in Prozent vom laufenden Ertrag. Der Zinsbelastungsanteil zeigt den Anteil des laufenden Ertrags, welcher durch den Nettozinsaufwand gebunden ist. Je tiefer der Wert, desto grösser ist der Handlungsspielraum der Gemeinde. Grundlage ist die Konsolidierte Gemeinde. Der Haushalt der Schulgemeinde wird dabei anteilsmässig in den Haushalt der poltischen Gemeinden umgelegt. Umstellung des Rechnungsmodells von HRM1 auf HRM2 ab Rechnungsjahr 2019. bezirke gemeindefinanzen gemeinden kanton_zuerich oeffentliche_finanzen ogd Öffentliche Verwaltung und Finanzen",True
28@statistisches-amt-kanton-zuerich,Gebäudevolumen [1000 m3], Gebäudevolumen [1000 m3] Gebäudevolumen gemäss GVZ bezirke gebaeude gemeinden immobilien kanton_zuerich ogd Bau- und Wohnungswesen,True
47@statistisches-amt-kanton-zuerich,Jugendquotient [%], Jugendquotient [%] Quantitatives Verhältnis zwischen den 0- bis 19-Jährigen und den 20- bis 64-Jährigen. alter altersstruktur bevoelkerung bezirke gemeinden kanton_zuerich ogd Bevölkerung,True
105@statistisches-amt-kanton-zuerich,Geb.Vol. Nebengebäude: Zunahme [%], Geb.Vol. Nebengebäude: Zunahme [%] Veränderung des Gebäudevolumens gegenüber Vorjahr (1995: jährliche Veränderung im Zeitraum 1990-2000) bautaetigkeit bezirke gebaeude gebaeudeart gemeinden kanton_zuerich ogd Bau- und Wohnungswesen,True
205@statistisches-amt-kanton-zuerich,Bevölkerungszunahme 5 Jahre [Pers.]," Bevölkerungszunahme 5 Jahre [Pers.] Veränderung der Einwohnerzahl (zivilrechtlicher Wohnsitz) innerhalb von 5 Jahren. Wert für 1970 aus der Volkszählung (wirtschaftl. Wohnsitz), da keine kant. Erhebung stattgefunden hat. bevoelkerung bevoelkerungswachstum bezirke gemeinden kanton_zuerich ogd Bevölkerung",True
223@statistisches-amt-kanton-zuerich,Wanderungsbilanz [pro 1000 Einw.]," Wanderungsbilanz [pro 1000 Einw.] Zuzüge minus Wegzüge (ohne Umzüge innerhalb der Gemeinden). Hinweis: Ab 2011 Wechsel des Produktionsverfahrens und neue Definition der ständigen Wohnbevölkerung, die zusätzlich Personen im Asylprozess mit einer Gesamtaufenthaltsdauer von mindestens 12 Monaten umfasst. Inkl. innerkantonaler Wanderungen. bevoelkerung bezirke gemeinden kanton_zuerich ogd wanderungen wanderungsbilanz zuzuege-wegzuege Bevölkerung",True
363@statistisches-amt-kanton-zuerich,ÖV-Anteil (Modal Split) [%]," ÖV-Anteil (Modal Split) [%] Grundlage für die Berechnung des ÖV-Anteils sind die ÖV-Wege des Quell-, Ziel- und Binnenverkehrs des jeweiligen Gebiets an einem durchschnittlichen Werktag (DWV). Mit Prognosezustand. bezirke gemeinden kanton_zuerich oeffentlicher_verkehr ogd verkehrsmittelwahl Mobilität und Verkehr",True
